Source Name,Tamil Name,Quantity,Status,Confidence,Date,Source File,Upload Type,Uploaded Image Path,Saved At,Client Name
Onion,வெங்காயம் (ONION),80 KG,Auto Extracted,99%,2026-07-27,WhatsApp Image 2026-07-26 at 18.33.32.jpeg,image,outputs/uploads/2026-07-27/WhatsApp Image 2026-07-26 at 18.33.32.jpeg,2026-07-27 11:28:46,L&T
Potato,உருளைக்கிழங்கு (POTATO),100 KG,Auto Extracted,99%,2026-07-27,WhatsApp Image 2026-07-26 at 18.33.32.jpeg,image,outputs/uploads/2026-07-27/WhatsApp Image 2026-07-26 at 18.33.32.jpeg,2026-07-27 11:28:46,L&T
Carrot,கேரட் (CARROT),15 KG,Auto Extracted,99%,2026-07-27,WhatsApp Image 2026-07-26 at 18.33.32.jpeg,image,outputs/uploads/2026-07-27/WhatsApp Image 2026-07-26 at 18.33.32.jpeg,2026-07-27 11:28:46,L&T
Green Chilly,பச்சை மிளகாய் (GREEN CHILLY),5 KG,Auto Extracted,99%,2026-07-27,WhatsApp Image 2026-07-26 at 18.33.32.jpeg,image,outputs/uploads/2026-07-27/WhatsApp Image 2026-07-26 at 18.33.32.jpeg,2026-07-27 11:28:46,L&T
Cabbage,முட்டைக்கோஸ் (CABBAGE),20 KG,Auto Extracted,99%,2026-07-27,WhatsApp Image 2026-07-26 at 18.33.32.jpeg,image,outputs/uploads/2026-07-27/WhatsApp Image 2026-07-26 at 18.33.32.jpeg,2026-07-27 11:28:46,L&T
Capsicum,குடைமிளகாய் (CAPSICUM),3 KG,Auto Extracted,99%,2026-07-27,WhatsApp Image 2026-07-26 at 18.33.32.jpeg,image,outputs/uploads/2026-07-27/WhatsApp Image 2026-07-26 at 18.33.32.jpeg,2026-07-27 11:28:46,L&T
Coconut,தேங்காய் (COCONUT),15 NOS,Auto Extracted,99%,2026-07-27,WhatsApp Image 2026-07-26 at 18.33.32.jpeg,image,outputs/uploads/2026-07-27/WhatsApp Image 2026-07-26 at 18.33.32.jpeg,2026-07-27 11:28:46,L&T
Coriander,கொத்தமல்லி (CORIANDER),3 KG,Auto Extracted,99%,2026-07-27,WhatsApp Image 2026-07-26 at 18.33.32.jpeg,image,outputs/uploads/2026-07-27/WhatsApp Image 2026-07-26 at 18.33.32.jpeg,2026-07-27 11:28:46,L&T
Cucumber,வெள்ளரிக்காய் (CUCUMBER),60 KG,Auto Extracted,99%,2026-07-27,WhatsApp Image 2026-07-26 at 18.33.32.jpeg,image,outputs/uploads/2026-07-27/WhatsApp Image 2026-07-26 at 18.33.32.jpeg,2026-07-27 11:28:46,L&T
Curry Leaves,கறிவேப்பிலை (CURRY LEAVES),2 KG,Auto Extracted,99%,2026-07-27,WhatsApp Image 2026-07-26 at 18.33.32.jpeg,image,outputs/uploads/2026-07-27/WhatsApp Image 2026-07-26 at 18.33.32.jpeg,2026-07-27 11:28:46,L&T
